id_jucator,nume,email,id_oras,nivel_declarat,rating_elo,data_inscriere,parola
1,Razvan Serban,razvan.serban@gmail.com,1,4,1810,2026-07-06,Xurbow982
2,Anca Stan,anca.stan@outlook.com,10,4,1616,2026-05-16,Fygruk727
3,Tudor Balan,tudor.balan@gmail.com,6,3,1594,2026-06-16,Sywfih925
4,Daniel Filip,daniel.filip@gmail.com,1,2,1440,2026-07-19,Wycgow549
5,Daniel Petrescu,daniel.petrescu@yahoo.com,10,2,1378,2026-04-11,Darsor437
6,Adrian Serban,adrian.serban@gmail.com,6,3,1622,2026-03-29,Vevbib386
7,Andrei Pop,andrei.pop@gmail.com,2,2,1458,2026-05-30,Roxhuk237
8,Marius Voicu,marius.voicu@outlook.com,3,3,1528,2026-06-23,Waspyc873
9,Roxana Cristea,roxana.cristea@gmail.com,7,2,1264,2026-04-05,Xuxjax723
10,Roxana Cristea,roxana.cristea2@yahoo.com,3,5,1888,2026-04-17,Qojtux356
11,Tudor Ionescu,tudor.ionescu@yahoo.com,8,2,1448,2026-06-11,Samfir698
12,Sorin Cojocaru,sorin.cojocaru@yahoo.com,7,3,1523,2026-06-18,Roggeg553
13,Sorin Voicu,sorin.voicu@gmail.com,10,4,1639,2026-04-10,Fuzxid223
14,Mihaela Gheorghe,mihaela.gheorghe@outlook.com,5,5,1836,2026-03-24,Kijtah562
15,Laura Radu,laura.radu@outlook.com,4,1,1132,2026-05-15,Romjyh427
16,Florin Grigore,florin.grigore@outlook.com,7,2,1389,2026-05-23,Kyhvit254
17,Georgiana Marin,georgiana.marin@yahoo.com,2,4,1747,2026-05-15,Fignoc426
18,Cristian Grigore,cristian.grigore@gmail.com,2,3,1690,2026-07-21,Gojvok846
19,Cristina Pop,cristina.pop@gmail.com,3,4,1670,2026-05-14,Xumfuq298
20,Georgiana Sandu,georgiana.sandu@gmail.com,7,2,1385,2026-02-21,Xincad343
21,Dragos Diaconu,dragos.diaconu@gmail.com,1,2,1405,2026-07-15,Kukqef494
22,Stefan Enache,stefan.enache@gmail.com,9,2,1222,2026-05-23,Xytbow457
23,Radu Nistor,radu.nistor@outlook.com,2,3,1490,2026-07-24,Wuxjob593
24,Cristina Vasile,cristina.vasile@gmail.com,3,2,1441,2026-07-10,Muddab597
25,Gabriel Ionescu,gabriel.ionescu@outlook.com,2,4,1693,2026-07-17,Vurbic723
26,Roxana Dumitru,roxana.dumitru@yahoo.com,3,2,1196,2026-05-10,Hujnuj384
